source,target
zurenemanique,_Janoninho
libriana86,_Janoninho
zurenemanique,carloscdias
zurenemanique,Mu29964508Marta
libriana86,Mu29964508Marta
libriana86,carloscdias
liviacamis,_Janoninho
liviacamis,Mu29964508Marta
liviacamis,carloscdias
juracema_de,_Janoninho
robledorap,_Janoninho
GuedesMyrna,_Janoninho
gleyseviana_,_Janoninho
simonegmoreno,_Janoninho
ac13131313,_Janoninho
ac13131313,_Janoninho
amgelfer,_Janoninho
GuedesMyrna,_Janoninho
tatianemarceli6,_Janoninho
amgelfer,_Janoninho
sorayabborges,_Janoninho
sorayabborges,_Janoninho
sorayabborges,_Janoninho
juracema_de,_Janoninho
ac13131313,_Janoninho
anapaulapetista,_Janoninho
lucabyluca,_Janoninho
ac13131313,_Janoninho
GuedesMyrna,_Janoninho
robledorap,_Janoninho
juracema_de,LulaoRei
GuedesMyrna,_Janoninho
ac13131313,_Janoninho
lucabyluca,_Janoninho
robledorap,TelesCombate
Luishug68080237,_Janoninho
MariaLu01646980,_Janoninho
lucabyluca,_Janoninho
vaz_eunice,_Janoninho
AyltonBaptista,_Janoninho
lucabyluca,_Janoninho
ElianeZandonadi,_Janoninho
gleyseviana_,_Janoninho
maisamorp,_Janoninho
anapaulapetista,_Janoninho
twittestela,_Janoninho
ElianeZandonadi,_Janoninho
anapaulapetista,_Janoninho
andreccaldeira,Pittyprovesi
Francis84008209,_Janoninho
lucabyluca,_Janoninho
adilsonmz,_Janoninho
CelloCastro,_Janoninho
twittestela,_Janoninho
MariaLu01646980,_Janoninho
twittestela,_Janoninho
tatianemarceli6,_Janoninho
twittestela,_Janoninho
Francis84008209,_Janoninho
twittestela,_Janoninho
tatianemarceli6,_Janoninho
Francis84008209,_Janoninho
robledorap,_Janoninho
MeziatMarta,_Janoninho
Luishug68080237,_Janoninho
libriana86,_Janoninho
MariaLu01646980,_Janoninho
karineneves13ca,_Janoninho
adilsonmz,_Janoninho
karineneves13ca,simonegmoreno
karineneves13ca,carloscdias
Ademir1956Ap,_Janoninho
AntoniadePaula7,_Janoninho
Ademir1956Ap,_Janoninho
EurivaldoLima10,_Janoninho
Mc_Dagora,_Janoninho
laercioclp,Wagner_R_O
GuardadoEdson,claryene
suelybianor,diegodeabreu
AnaSant79378906,DCDM115
Mc_Dagora,_Janoninho
robertarocha66,_Janoninho
Mc_Dagora,_Janoninho
simonegmoreno,_Janoninho
Patrcia01777362,_Janoninho
Aicram39552326,_Janoninho
IsoldaCerqueira,_Janoninho
NadjaUchoa,_Janoninho
robertarocha66,_Janoninho
DonizetePitondo,LuizAlb29422030
ac13131313,_Janoninho
Patrcia01777362,_Janoninho
ArlindoATavares,_Janoninho
MariaLu01646980,_Janoninho
Fabola07797913,_Janoninho
Claudia94622157,_Janoninho
Mc_Dagora,_Janoninho
pudim301,_Janoninho
robertarocha66,_Janoninho
lucabyluca,_Janoninho
SessaAriel,_Janoninho
MarioZocc,_Janoninho
Patrcia01777362,_Janoninho
carlostaurus99,_Janoninho
FlavioS1971,DCDM115
FlavioS1971,Pittyprovesi
MarioOl52769551,_Janoninho
GaldianoIvonete,alexfmotta
GuedesMyrna,_Janoninho
pudim301,_Janoninho
robertarocha66,_Janoninho
JcndoAmaral,DCDM115
zefvidal,linapaulaqueir1
amgelfer,_Janoninho
zefvidal,BaraoFarias
LauraApGC1,Suzano_info
LauraApGC1,aro_marcia
Cf70Cristina,_Janoninho
curimim,DCDM115
edcar1811,aro_marcia
madelcostas,_Janoninho
edcar1811,Suzano_info
Aicram39552326,_Janoninho
CludiaMascaren6,Suzano_info
CludiaMascaren6,DCDM115
8x8News,BrunoCalixto22
CludiaMascaren6,PolticaDVerdade
sandraschulzcar,vanete_araujo
edcar1811,BrunoCalixto22
CludiaMascaren6,joaovoltou
curimim,Suzano_info
AgnaldoRamosDS,linapaulaqueir1
Douglas70211690,DCDM115
IvanMor44139289,Suzano_info
dede_pepper,Suzano_info
CarlosR68404460,aro_marcia
curimim,Wagner_R_O
FlavioS1971,Suzano_info
CludiaMascaren6,LeoniceMariana1
FlavioS1971,Wagner_R_O
laisrungria,aro_marcia
CludiaMascaren6,vanete_araujo
laisrungria,MrochaNysoft
MarizaSantiago5,Suzano_info
ritaderibeiro,Suzano_info
raquel_bernarda,Suzano_info
AyltonBaptista,_Janoninho
ZadraDaniele,Suzano_info
raquel_bernarda,DCDM115
edcar1811,Danicarlasou
ElisBrando6,BrunoCalixto22
PolimLimeira,Suzano_info
ritaderibeiro,linapaulaqueir1
ElisBrando6,LeoniceMariana1
mandinhaeeyru,DCDM115
fabicoelhovet,linapaulaqueir1
Vanessa41504968,Suzano_info
2Vsft,Suzano_info
raquel_bernarda,Pittyprovesi
ritaderibeiro,aro_marcia
MarizaSantiago5,linapaulaqueir1
CludiaMascaren6,Alex__Lemos
direita_ver,Pittyprovesi
JairCavalcant19,UdaJuris2022
edcar1811,FelipZimmer
luisfrancoeng,UdaJuris2022
CludiaMascaren6,FelipZimmer
direita_ver,linapaulaqueir1
CludiaMascaren6,claryene
