created_at,source,target
2022-11-22 16:29:08,zurenemanique,_Janoninho
2022-11-22 16:29:32,libriana86,_Janoninho
2022-11-22 16:29:42,zurenemanique,carloscdias
2022-11-22 16:29:56,zurenemanique,Mu29964508Marta
2022-11-22 16:30:58,libriana86,Mu29964508Marta
2022-11-22 16:31:18,libriana86,carloscdias
2022-11-22 16:34:04,liviacamis,_Janoninho
2022-11-22 16:34:16,liviacamis,Mu29964508Marta
2022-11-22 16:34:20,liviacamis,carloscdias
2022-11-22 16:35:01,juracema_de,_Janoninho
2022-11-22 16:35:18,robledorap,_Janoninho
2022-11-22 16:35:26,GuedesMyrna,_Janoninho
2022-11-22 16:35:38,gleyseviana_,_Janoninho
2022-11-22 16:35:50,simonegmoreno,_Janoninho
2022-11-22 16:36:19,ac13131313,_Janoninho
2022-11-22 16:37:34,ac13131313,_Janoninho
2022-11-22 16:37:49,amgelfer,_Janoninho
2022-11-22 16:38:21,GuedesMyrna,_Janoninho
2022-11-22 16:38:23,tatianemarceli6,_Janoninho
2022-11-22 16:38:26,amgelfer,_Janoninho
2022-11-22 16:38:27,sorayabborges,_Janoninho
2022-11-22 16:38:37,sorayabborges,_Janoninho
2022-11-22 16:38:44,sorayabborges,_Janoninho
2022-11-22 16:38:55,juracema_de,_Janoninho
2022-11-22 16:39:22,ac13131313,_Janoninho
2022-11-22 16:40:12,anapaulapetista,_Janoninho
2022-11-22 16:42:58,lucabyluca,_Janoninho
2022-11-22 16:43:00,ac13131313,_Janoninho
2022-11-22 16:44:05,GuedesMyrna,_Janoninho
2022-11-22 16:44:12,robledorap,_Janoninho
2022-11-22 16:44:46,juracema_de,LulaoRei
2022-11-22 16:45:30,GuedesMyrna,_Janoninho
2022-11-22 16:45:32,ac13131313,_Janoninho
2022-11-22 16:45:43,lucabyluca,_Janoninho
2022-11-22 16:45:58,robledorap,TelesCombate
2022-11-22 16:46:15,Luishug68080237,_Janoninho
2022-11-22 16:46:42,MariaLu01646980,_Janoninho
2022-11-22 16:47:02,lucabyluca,_Janoninho
2022-11-22 16:47:15,vaz_eunice,_Janoninho
2022-11-22 16:48:21,AyltonBaptista,_Janoninho
2022-11-22 16:48:39,lucabyluca,_Janoninho
2022-11-22 16:48:41,ElianeZandonadi,_Janoninho
