source,target,weight
VidorLu,joaodomenech,14
VidorLu,_Janoninho,14
bozo_bot,marcosaraujjoo,14
joaodomenech,joaodomenech,13
GuedesMyrna,_Janoninho,12
gayLulista13,MarcianoBrito13,12
gayLulista13,joaodomenech,12
VidorLu,marcosaraujjoo,11
gayLulista13,_Janoninho,11
BobNoza,_Janoninho,10
ac13131313,_Janoninho,10
nadiaprado7,joaodomenech,10
AlexBri51894122,_Janoninho,10
Fabola07797913,_Janoninho,10
juracema_de,_Janoninho,10
VidorLu,MarcianoBrito13,10
ROBERTA57596546,_Janoninho,10
LKurudez,_Janoninho,10
nadiaprado7,_Janoninho,9
AstralSandro,_Janoninho,9
simonegmoreno,_Janoninho,9
Patrcia01777362,_Janoninho,9
MarcoRS1984,_Janoninho,8
rd12493055,_Janoninho,8
Repente40,_Janoninho,8
ElianeZandonadi,_Janoninho,8
Ja_nemel,_Janoninho,8
pacato13760420,_Janoninho,8
luciah1000,_Janoninho,7
SoyAlineBatista,joaodomenech,7
homo10sapiens,MarcianoBrito13,7
vlds_jr,_Janoninho,7
Cf70Cristina,marcosaraujjoo,7
carlosmouramelo,joaodomenech,7
AntoniadePaula7,_Janoninho,7
Aicram39552326,_Janoninho,7
homo10sapiens,_Janoninho,7
conciliele,_Janoninho,7
madelcostas,_Janoninho,7
OliviaM41894619,_Janoninho,7
AyltonBaptista,_Janoninho,7
gleyseviana_,_Janoninho,7
tatianemarceli6,_Janoninho,7
lucabyluca,_Janoninho,6
NadiaMariasol,_Janoninho,6
Ademir1956Ap,_Janoninho,6
vaz_eunice,joaodomenech,6
amerciapps,_Janoninho,6
Mc_Dagora,_Janoninho,6
MarciaF84658325,_Janoninho,6
robledorap,_Janoninho,6
ObservatorioXX,_Janoninho,6
MarioZocc,_Janoninho,6
Weslley02374166,MarcianoBrito13,6
anabelarosa8,_Janoninho,6
Pitchucky,_Janoninho,6
Repente40,joaodomenech,6
joaodomenech,_Janoninho,6
j_racionais,_Janoninho,6
Cizinhah,_Janoninho,6
homo10sapiens,joaodomenech,6
MarioOl52769551,_Janoninho,5
elizsoares,joaodomenech,5
EdmarAlves68,_Janoninho,5
acquabubbles,_Janoninho,5
conciliele,joaodomenech,5
HEY_MALYNE,_Janoninho,5
AgapitoVilson,joaodomenech,5
Cristia46974199,_Janoninho,5
GeovannyLucas8,_Janoninho,5
luisalv010474,joaodomenech,5
Anderso74644453,_Janoninho,5
ivone_emilia,_Janoninho,5
AnaRuthAlmeida1,_Janoninho,5
AndrRgo1,_Janoninho,5
afonsor5hotmai1,_Janoninho,5
rosielepamela1,joaodomenech,5
IsoldaCerqueira,joaodomenech,5
VernicaQuadro10,_Janoninho,5
bysincerona,joaodomenech,5
rosielepamela1,_Janoninho,5
AndrRgo1,joaodomenech,5
twittestela,_Janoninho,5
DuasVezes1,_Janoninho,5
AndreiaPatroci2,marcosaraujjoo,5
rooseveltribam3,joaodomenech,5
adsrocha6,_Janoninho,5
VidorLu,OBrizolulista,5
Francis84008209,_Janoninho,5
robertarocha66,_Janoninho,5
MeziatMarta,_Janoninho,5
elibarbosa1212,_Janoninho,5
adilsonmz,_Janoninho,5
paulophb57,_Janoninho,5
zelatorre,_Janoninho,5
NadjaUchoa,_Janoninho,5
pudim301,_Janoninho,5
ninicarvalho,_Janoninho,5
MariaSi25970757,_Janoninho,5
MariaLu01646980,_Janoninho,5
